06.51710 +10.43079 start  IC0446 
06.51826 +10.42882 vertex
06.51963 +10.41955 vertex
06.52064 +10.42404 vertex
06.52123 +10.43078 vertex
06.52153 +10.45269 vertex
06.52064 +10.48892 vertex
06.51803 +10.49398 vertex
06.51555 +10.47909 vertex
06.51538 +10.47179 vertex
06.51550 +10.44455 vertex
06.51597 +10.43444 vertex
06.51710 +10.43079 end   
02.86180 +59.79759 start  IC1848 
02.85792 +59.80142 vertex
02.85292 +59.81345 vertex
02.84317 +59.84367 vertex
02.83562 +59.87611 vertex
02.82886 +59.91693 vertex
02.82547 +59.94147 vertex
02.81388 +60.00851 vertex
02.80648 +60.05940 vertex
02.80363 +60.07558 vertex
02.80166 +60.08147 vertex
02.79712 +60.10356 vertex
02.79423 +60.13012 vertex
02.79273 +60.15904 vertex
02.79238 +60.17776 vertex
02.79218 +60.23408 vertex
02.79296 +60.24885 vertex
02.79703 +60.28932 vertex
02.79782 +60.30200 vertex
02.79826 +60.33757 vertex
02.79703 +60.36864 vertex
02.79613 +60.38308 vertex
02.79352 +60.40343 vertex
02.77859 +60.47123 vertex
02.77332 +60.51386 vertex
02.77268 +60.53250 vertex
02.77261 +60.54710 vertex
02.77299 +60.59103 vertex
02.77664 +60.66703 vertex
02.77850 +60.69668 vertex
02.78066 +60.72430 vertex
02.78316 +60.73946 vertex
02.79200 +60.73713 vertex
02.79345 +60.72907 vertex
02.79440 +60.70421 vertex
02.79455 +60.66249 vertex
02.79488 +60.65003 vertex
02.79550 +60.63554 vertex
02.79667 +60.62533 vertex
02.80312 +60.64742 vertex
02.80652 +60.65012 vertex
02.80937 +60.64645 vertex
02.81481 +60.63066 vertex
02.82143 +60.59832 vertex
02.82432 +60.57997 vertex
02.82746 +60.56999 vertex
02.83171 +60.56641 vertex
02.83308 +60.58538 vertex
02.83267 +60.63958 vertex
02.83320 +60.65218 vertex
02.83595 +60.69219 vertex
02.83932 +60.70722 vertex
02.84102 +60.71160 vertex
02.85012 +60.71262 vertex
02.86150 +60.70953 vertex
02.86350 +60.70552 vertex
02.86864 +60.68506 vertex
02.87064 +60.68102 vertex
02.87234 +60.68323 vertex
02.87317 +60.69581 vertex
02.87458 +60.70633 vertex
02.88763 +60.74458 vertex
02.88876 +60.75506 vertex
02.88904 +60.76968 vertex
02.88902 +60.79681 vertex
02.88844 +60.80930 vertex
02.88384 +60.84875 vertex
02.88212 +60.85701 vertex
02.87866 +60.88604 vertex
02.87633 +60.92347 vertex
02.87571 +60.96517 vertex
02.87569 +60.98186 vertex
02.87596 +60.99440 vertex
02.87710 +61.00490 vertex
02.88856 +61.02425 vertex
02.90809 +61.03514 vertex
02.90981 +61.03933 vertex
02.91671 +61.04558 vertex
02.92130 +61.04553 vertex
02.92504 +61.03504 vertex
02.92819 +61.03288 vertex
02.93393 +61.01601 vertex
02.93536 +61.00552 vertex
02.93820 +60.97202 vertex
02.93963 +60.96361 vertex
02.94218 +60.93845 vertex
02.94444 +60.90912 vertex
02.94472 +60.89658 vertex
02.94469 +60.86737 vertex
02.94379 +60.82151 vertex
02.94205 +60.79655 vertex
02.93944 +60.74033 vertex
02.93543 +60.70920 vertex
02.93257 +60.67800 vertex
02.93228 +60.66340 vertex
02.93227 +60.64879 vertex
02.93311 +60.63416 vertex
02.93422 +60.60073 vertex
02.93534 +60.58608 vertex
02.93929 +60.56088 vertex
02.94098 +60.55454 vertex
02.94074 +60.60463 vertex
02.93963 +60.62973 vertex
02.93964 +60.64225 vertex
02.94023 +60.66726 vertex
02.94024 +60.67978 vertex
02.94053 +60.69229 vertex
02.94055 +60.70898 vertex
02.94343 +60.75058 vertex
02.94515 +60.76301 vertex
02.94890 +60.79827 vertex
02.95033 +60.80653 vertex
02.95319 +60.81051 vertex
02.96374 +60.80971 vertex
02.96775 +60.81979 vertex
02.96948 +60.82798 vertex
02.97329 +60.88186 vertex
02.97389 +60.89433 vertex
02.97679 +60.91281 vertex
02.97881 +60.92094 vertex
02.98168 +60.92688 vertex
02.98655 +60.92630 vertex
02.99114 +60.92989 vertex
02.99747 +60.94156 vertex
03.00578 +60.94242 vertex
03.01262 +60.93297 vertex
03.01458 +60.91804 vertex
03.01511 +60.90334 vertex
03.01477 +60.88670 vertex
03.01185 +60.86840 vertex
03.01124 +60.85597 vertex
03.01115 +60.82677 vertex
03.01168 +60.81416 vertex
03.01670 +60.77782 vertex
03.01840 +60.77335 vertex
03.02204 +60.75391 vertex
03.02228 +60.74135 vertex
03.02729 +60.70910 vertex
03.03598 +60.67606 vertex
